from,to,cost
0,0,0
0,1,4.188
0,2,10.416
0,3,17.86
0,4,22.444
0,5,40.859
0,6,47.321
0,7,60.392
0,8,67.041
0,9,84.498
0,10,97.673
0,11,115.803
0,12,119.819
0,13,151.435
0,14,25.028
0,15,33.535
0,16,38.682
0,17,52.17
0,18,78.953
0,19,96.439
0,20,103.663
0,21,106.289
0,22,106.29
0,23,113.606
0,24,96.456
0,25,25.36
0,26,37.183
0,27,185.305
0,28,179.475
0,29,201.541
0,30,202.659
0,31,225.048
0,32,224.229
0,33,209.312
0,34,195.112
0,35,185.716
0,36,178.977
0,37,164.078
0,38,63.421
0,39,69.229
0,40,79.918
0,41,88.564
0,42,17.616
0,43,30.892
0,44,39.177
0,45,57.864
0,46,83.869
0,47,83.907
0,48,89.228
0,49,96.494
0,50,63.809
0,51,60.103
0,52,50.765
0,53,37.38
0,54,28.647
0,55,19.036
0,56,39.821
0,57,47.715
0,58,51.775
0,59,81.592
0,60,85.877
0,61,95.672
0,62,114.644
0,63,66.821
0,64,39.4
0,65,50.071
0,66,48.42
0,67,39.086
0,68,35.144
0,69,30.208
0,70,28.736
0,71,28.811
0,72,25.232
0,73,20.773
0,74,17.312
0,75,12.925
0,76,5.64
0,77,2.746
0,78,16.407
0,79,22.592
0,80,5.324
0,81,8.645
0,82,10.105
0,83,13.328
0,84,51.003
0,85,47.203
0,86,40.973
0,87,96.085
0,88,90.113
0,89,77.984
0,90,84.779
0,91,93.982
0,92,106.457
0,93,108.892
0,94,112.402
0,95,49.518
0,96,70.615
0,97,83.075
0,98,94.749
0,99,110.736
0,100,141.847
0,101,166.833
0,102,182.74
0,103,193.23
0,104,207.686
0,105,25.115
0,106,40.734
0,107,10.661
0,108,42.781
0,109,56.53
0,110,33.876
0,111,100.499
0,112,73.304
0,113,63.776
0,114,66.352
0,115,76.762
0,116,66.871
0,117,69.632
0,118,83.915
0,119,99.783
0,120,126.291
0,121,142.581
0,122,133.228
0,123,17.742
0,124,29.527
0,125,58.17
0,126,70.818
0,127,99.123
0,128,111.419
0,129,128.429
0,130,94.901
0,131,127.385
0,132,137.905
0,133,149.424
0,134,150.639
0,135,9.31
0,136,24.399
0,137,30.855
0,138,35.341
0,139,57.146
0,140,73.229
0,141,85.386
0,142,92.467
0,143,103.11
0,144,121.58
0,145,129.495
0,146,156.658
0,147,167.692
0,148,185.037
0,149,189.324
0,150,202.94
0,151,16.042
0,152,17.901
0,153,23.026
0,154,29.078
0,155,19.217
0,156,21.613
0,157,26.41
0,158,33.917
0,159,54.4
0,160,63.815
0,161,75.894
0,162,81.75
0,163,93.482
0,164,97.913
0,165,116.275
0,166,118.355
0,167,136.294
0,168,157.441
0,169,160.452
0,170,169.435
0,171,188.43
0,172,193.99
0,173,209.185
0,174,216.991
